Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2015.0,4.7,0.0,1.4,82.10000000000001,74.7,62.5,24.6,30.5,18.0,149.6,900.2,509.3,1857.6000000000001
2016.0,0.4,0.0,0.4,0.0,201.9,24.6,31.5,84.7,52.6,35.8,191.2,72.3,695.4
2017.0,144.8,0.1,102.0,0.0,13.7,56.4,66.3,105.7,53.0,236.0,732.0,257.3,1767.3
2018.0,69.5,0.8,3.7,54.09999999999999,9.1,24.0,6.2,42.2,50.0,257.1,620.9,61.0,1198.6
2019.0,0.0,2.7,1.0,1.4,0.0,5.9,46.4,159.7,202.8,346.8,348.5,359.9,1475.1
2020.0,11.9,0.3,0.0,5.0,31.3,37.9,203.9,59.2,126.4,30.3,269.8,728.7,1504.7
2021.0,332.7,8.0,0.0,2.6,64.3,11.2,104.9,82.1,85.8,436.2,1010.7,106.3,2244.8
2022.0,139.1,111.1,27.7,64.39999999999999,31.7,10.0,42.4,177.4,148.4,108.4,302.6,160.7,1323.8999999999999
2023.0,13.8,146.7,18.6,42.9,38.1,61.0,21.9,70.8,37.3,123.8,725.4,173.5,1473.8
2024.0,252.7999939098954,0.0,2.400000095367432,0.7000000178813934,89.00000152736902,53.59999985992908,16.00000036507845,54.20000015199184,11.90000003576279,168.1000013947487,698.399989515543,356.4000043421984,1703.4999912157655
,,,,,,,,,,,,,1478.2519998243154
